编号	哈希值	中文名	日文名	英文名	图标
80	f49b3481121d9076ebfeea639c5fe924	干草床			1
81	1e26a71dcc289ea18c5562028238f663	玩具（任意）			1
82	b515147fc08b669634eecdb4f3435044	垃圾桶（任意）			1
83	ae5830fdb4eace7e741cc0894e9236ed	牌子（任意）			1
84	d5359c179fd5a7ee5e58baf49f67ba1b	垃圾袋			1
85	7b2d75651a974d580e02d047eb811bcf	垃圾桶			1
86	7ebaec5e58188f08c721c26adb769cbd	电线杆			1
87	b304f9a238a030c38f031b2bbd6b147f	菜单立牌			1
88	a9975668e7287c0f69a2aaf19fa37b52	雅致椅子			1
89	ea1fe1339ffe124c9ca77df5dbe1b0a7	雅致桌子			1
90	01b103148518154bd62b2af80e3ac06f	推车			1
91	d2b9ed4750cb399412cd57b52166ee43	植栽（任意）			1
92	998a0337ca6168c65dabb196d5e9a4a1	柜台面			1
93	d650ea03392926ff0afa30159e7c109d	马克杯			1
94	544b978fcb9b8b5d603249e42d782b84	边桌			1
95	6a4e79214cfc7578d7b2fb89df7d0853	聚光灯			1
96	479aa686eb31401939da50617dd5344c	舞台			1
97	55fc891681dd9731f7206cd75e908704	气球			1
98	ae2e6756814964e02083a9e25b192fea	惊吓箱			1
99	43563c211afd461512d8e240ed1a3ec3	雷丘招牌			1
100	3f7b48afea409706a14f36486c6d6ca4	衣柜（任意）			1
101	49480e8ef2cd81f3e54fb3de02ece6f7	镜子（大）			1
102	fc10845e76485e0db44f94941455e593	屏风（任意）			1
103	0b5d8ae24e5f26c498ee7ac5085f731f	梳妆台（任意）			1
104	f0f797ed732f5bf1d886f11b5b0e596b	编织套组			1
105	31f66ad6edc457d34c32d2d4b4f6691c	花洒			1
106	00cc0137ff85a3fbe0dece7fc83bff36	温泉			1
107	05abd8ee849b1d9405a705312185b177	自然风储物柜			1
108	23fcc3fd4807b759b40858ccf0d596d4	闹钟			1
109	184a1b4a00680c955cfa767808f3cc26	街机			1
110	e24f4ea950764bed14d9abb35c9aba16	拳击机			1
111	bf8ffaf3bd8b79e5685704f52fd006d8	水力发电机			1
112	c1ae8457b1eb017848caa2707bdc1228	火力发电机			1
113	110759b4b5388ed494fab8a067220f63	栈桥			1
114	0b6c0832f2a6919bc04d646ef80915c8	书架			1
115	5e5ffe9c6296b6cc58fb46459974271a	雅致沙发			1
116	fb72ac3fbcccee804db6f5db75ae4e8d	自然桌子			1
117	6e51ab273fa182084b50f9b0f5cc9bab	木桶			1
118	80581ea0db25a85549f194c024fc59f3	船舵			1
119	e9c3aa83ba38d9a26f11ea78748d892a	发射筒			1
120	8f7c9cab2388018a9fc25a4db4585b28	收银机			1
121	4d7f930b07334594acbc27909495c0f7	画布			1
122	20e766f49d728d36ffb647bb53b8b2f7	供品台			1
123	c8c937939d90388700cd28adadfc4dae	皮卡丘沙发			1
124	46fa8f90340ea487aaa27c89dad5a7e4	皮卡丘玩偶			1
125	d080f57ed446e5654becbc0aec1befce	可爱的沙发			1
126	7ca4e944f75aaf65408e92d85c42fcbd	可爱的桌子			1
127	115cd16a8708391cbd2f8189695fbfc1	可爱的灯			1
128	9a22c9bdc40736746b7b75dbb1b54323	可爱的床			1
129	0861bc79ec8e2b1ecc90c2125030e961	可爱的梳妆台			1
130	d8936807febecdb61575e220a6f506c4	度假风沙发			1
131	71182ca1c54a8148322ddeeefefc0492	度假风桌子			1
132	8666f94333bcabc76a06f3697877abda	度假风吊床			1
133	043556742f02a3ea3a435413699acddb	度假风灯			1
134	9e9dbda81ade63d1aa9ea8ab86258afa	自然风床铺			1
135	505df0a419241b2d7b1c6ac2e8cb8a3d	自然风沙发			1
136	daf192a01d5fcac7b14dffcb0ef77040	自然风台灯			1
137	c38c2b579c357fc32090415e889635b0	红色草			1
138	f6a4720aacb954e572e037f90dc2a93a	三角树			1
139	04a4febcf037aadf052799569d1ded74	沙包			1
140	eea801e62b9d70ab96ef98916119fa5e	岩地的花			1
141	10deb425f03b8e158c5657cb3aea3041	手推车			1
142	74207e36215bc6d2ae8db2f5fb20bbb8	浮萍			1
143	de5eb352b59d0a24bc2bc40715a8746c	苔藓			1
144	69082fb2a086dd25367964ca2b5b8f38	苔岩			1
145	9720f2d7766622fc836b22bff1bca919	出水口			1
146	10a4d83f32bc0d32160b8fed4ff156a5	水盆			1
147	f07337747ea99c36f854fc21c4bfa496	热热岩			1
148	769d12cf69cf8a24cd87992f0b2a05e6	熔岩			1
149	1b4cda1268af55a1993018ca0dc13fcd	熔炉			1
150	228f5e837289215ebddba6648b09c389	掘山道具			1
151	d5e9c9a594b98786708a12cafee15643	钢骨			1
152	ffb463d0b8924ffe4a4e5de477aba9b9	笋岩			1
153	ea211441eb37221acc98130bc6790eed	提灯			1
154	3062658ee698f279225101a33d951049	桌子（大）			1
155	7b92ee38e8b7ec9091964fa00cd5672e	派对餐盘			1
156	f3652a0fe2463c6ebf3fdc8fc19b2a83	面包窑			1
157	6f32f3f5fc2ce1ed5ed521e3a16e230a	厨房桌子			1
158	089ade6f202b590ef227260d9e04d25c	炉灶			1
159	e859b6555229ab5375a788bc719a8c55	平底锅（任意）			1
160	ddf95339c742d360e11159a34683d0c6	水槽			1
161	99fb33fac1994a19754f59c71814af05	供餐柜台			1
162	3253adb80aa29f68f46ed4bcd1116241	派对杯			1
163	e7e7de9f3e35e26d80be402bf57037fe	平板电脑			1
164	cb55747bec789773451f4cb7529994d2	木制栖杠			1
165	1f50d8d3b80bf79035242e4b6b1c4cf3	立式麦克风			1
166	35b7df39c9056d38f102a9d186768ca6	音箱			1
167	53a95d67fe26c51fd909cf9710f35260	CD播放器			1
168	93a2a2a00141e49187202ba05b225042	CD架			1
169	358a35ae3bd7211cf1717d8353afaf8a	杂志柜			1
170	20841a57f540e219c33b1c66dbb4be41	分隔物（任意）			1
171	9c14359e7971cc345665ac83eb934229	台座／展示台			1
172	ab2ea20f0803db0a08f43a2e02d82367	办公室储物柜			1
173	ced2994919aa42c9a0949c0c469b4b6f	月夜起舞像			1
174	98dfafc4a9c03bcf02dca9f8b6504f5f	牌子			1
175	e7eb024de7b04978b908f14872713e76	铁轨			1
176	2843060a73fe27e117a254e8f84048a0	道闸			1
177	fb93d1c5c98f021dad9675d27c1b3296	时髦锅			1
178	4048fab143ca20a34b2b816d7504dd6e	砧板			1
179	eba5af691e65806992b1d31a9d5729d4	豪华立灯			1
180	e3d3e4781394e92d7b41390610a2927f	豪华床铺			1
181	ae3ff3d50b9559a60f00e12cb1e63ab0	豪华沙发			1
182	a8eb0d677cd80f404a4f2d4351e74d92	豪华桌子			1
183	fafee49e0fb0a7993ea9cfc07bd5a724	铁床铺			1
184	f9a8b739574bd5bca3ca8e3805b5d270	铁桌子			1
185	c9114d6756ebae5dcac1aa79d0024d02	铁椅子			1
186	ef5e58bfe05b81c8caaa7d1a5d860dd6	工业风床铺			1
187	9ee6bbc0d7ae20469d9240f0dfb4faad	工业风桌子			1
188	9d67ad529fcc341649637b4b27e5b9c7	工业风椅子			1
189	9c9b52839ec209feb8964231da273dae	粉红色草			1
190	cd6dcce633812fdbabaeb6c0e5403e37	水泥管			1
191	24d0f8e8d4a3a516a3c9751cfc6efb40	空岛的花			1
192	9f2c111adef8d93d2b6699e79482a1db	独木舟			1
193	1799a75d4df6d97be1753a940bdb0750	踏脚石			1
194	63c048736eec249d10da1ad5b0d5888f	火炬			1
195	50461ec9d5d4128fcb47f67a6d842be2	精致花篱			1
196	cfbdcf53b66bb5793f9bcf3786e168b6	浴缸			1
197	b73c6e34a130cf974cb45cfd0aa921a2	自行车			1
198	10ee9b9e480d7a07725c366752881180	石头壁炉			1
199	12bfdbba0b7b2203de76d3fc8cd0d785	简约靠枕			1
200	46c18b2c39916a26528b34111a359eae	水晶球			1
201	3a2f904027d7b9da9b20fbe80aa9b354	电视			1
202	bcb8b2b1027678449bad629004a5f979	轮胎			1
203	a1b7b03a3544dd36946fc51da32b9127	微波炉			1
204	f0a220bdd20060983b3e3f4f29104f98	风速狗玩偶			1
205	f6ae1e110ec4b1e64559172dc8e5474d	铁管椅子			1
206	4d3aa4d4f5efda40cd48b221478ab770	桌灯			1
207	c5ec1633d684fb3c503c72ebc9ca72cd	铁管堆			1
208	f4bf9252bd05f8d37094791a28291e5c	井盖			1
209	71ff4f7bb04354a596e4ba2aa55860f6	可连结式三角锥			1
210	4341b488160dad2c882db4e0ffba8001	壁挂毛巾			1
211	f665128013cb26e2554205c5e64174dc	壁挂镜			1
212	4177760099e2bba48ddb4cb1f3af9e43	洗手台			1
213	7b72a98d60b58a3658f49acced72642a	矮柜（任意）			1
214	d21f1010c9f35457042054d7d43a0bb4	笔筒			1
215	969f257c243925ada096b149897c549a	音符垫子（任意）			1
216	85f3e42dab888ef98bce528dd6c48c52	清洁套组			1
217	d00f36f0ddabf190f6196911690b044f	加湿器			1
218	81ec89c07dc76a436c9a232a4ec7d812	脚踏凳			1
219	b709a637c47e49133ebe066a8ee5f74a	照明（任意)			1
220	c00469947042ed9084a062a8e527d03d	滑梯			1
221	d6b514d858b61e0eb1ec22eaf582327a	办公桌			1
222	161783fba60b3a45810d55d7586c7d07	笔记本电脑			1
223	4833fd5f721d43510f3a74b697433319	办公室椅子			1
224	5209726e598006c38f6e765a6a24bb98	办公室架子			1
225	eb3daf82752787abc049a9bc4968f3b7	实验套组			1
226	f9dc80129f6c9b8dd3cb814af07e5aa7	显微镜			1
227	0b7dcde9565d642e74382fc9cbae0ad5	论文			1
228	92898e3f004326bc04099919114d3108	白板			1
229	d280f28a68b41a54b984f4da38a5ccf7	台式电脑			1
230	ac65355d831e29a307a80b0a614f4d49	报纸			1
231	65b0297855bdfef8b5e5add153f9ef51	大鼓			1
232	e435b3d41e462a6238aee878d9b61e5a	贴地开关			1
233	f5ec8c80afc9fc4c39579a440b1a9a6c	露脸立牌			1
234	a60880a8448098706003888a1220bdd0	跳轮胎			1
235	8a884ff2e5b7c0e04f9fd4295581a196	脚手架			1
236	6ced69e94fe46994dfa942d219e0eb67	挂轴			1
237	e9ecaa8035b059993759a0330a615cfb	怪力岩			1
238	3951cfaf69d9752e6eca604e9a764207	火箭队挂饰			1
239	f4fc55c50d9cb58c768b774f677a7066	篝火			1
240	721f25d7854951e0f2c9909c133d676e	快龙玩偶			1
241	90e23a698e0739fdb9d3498a63a3162e	伊布玩偶			1
242	82ed855b0833367a1b9bc1158627b515	电竞床			1
243	a1ca21f322071383c95827a5edd17c77	电竞电脑			1
244	3e75711a9f140020d43920305bb2bbc5	电竞冰箱			1
245	4dda7944bfc93e44eee34fcc7026f46e	电竞椅			1
246	bc996ed7d875fd5a9a416a6e79fa57d9	新潮床铺			1
247	30adbcd65eb9e90336686c2df7445c1e	新潮沙发			1
248	5e3a08f5b8dd50152b7915759f4e5dd4	新潮桌子			1
249	acf328bfcccbead80b43d2c6aeff7a5d	钓竿			1
250	a9aa78b6d83b600e742379448ce8e043	酷炫电吉他			1
251	3cf4b61195ade4f1401beea664a58e3a	酷炫电贝斯			1
252	48ff123feae2f8c8968e4fb902f69174	咒术之铠			1
253	f65c9059c9318d15e61a917d73279ae9	庆祝之铠			1
254	1cd0f354ed1d8aaaca7fb519852ad0bb	飞翼化石（头）			1
255	0dd48baeba3a0f4e6178900fa47991d6	飞翼化石（右翼）			1
256	a84d230a3ddaf66e41ca79d6e052c8e1	飞翼化石（左翼）			1
257	19dfb855f2ea1daff2896afe0935041e	飞翼化石（身体）			1
258	56ceb7532c6fef0936f395056d6028fc	飞翼化石（尾巴）			1
259	5e79e14b144456ab90d8d6506f90abd6	头盖化石			1
260	ca033b78f38dadc0b38182f178d8d4f6	头锤化石（头）			1
261	af1cdba4c16c80d77fa4a9d04173d442	头锤化石（身体）			1
262	2cb9d00a2f81519a0bf46d18fc86a22a	头锤化石（尾巴）			1
263	921086467ad7ba9cfb8b86531d9926f0	盾甲化石			1
264	b27ec509ce5709d02411775b5890bbee	护盾化石（头）			1
265	42fa249f90df50d5af2d7cb88423b8c1	护盾化石（身体）			1
266	310d8499c9fbbe60c87f296e14c43d30	护盾化石（尾巴）			1
267	98a3cb0ea56b7b720d0f49bddc2272f8	颚之化石			1
268	a996a1bdc6a225cb11077871f2c7206c	暴君化石（头）			1
269	88b72d93f6794aa4c7a9923f4ebe560e	暴君化石（身体）			1
270	5c5186d16f272f36b82779875fc900c7	暴君化石（脚）			1
271	55ce04b44dcdc1206bb475e33035c68a	暴君化石（尾巴）			1
272	c816a3d52acd41e83ba9dbc5aae68b43	鳍之化石			1
273	692744739f7f3548ddafe374c38b9bbc	冻原化石（头）			1
274	0addcb0c351c5a79126dab8a5ebb0b28	冻原化石（身体）			1
275	696c05385bfe7d27bb8a395311bfd155	冻原化石（尾巴）			1
276	a486f45d42519724cb9bad985aaee98b	冰淇淋汽水			1
277	70947eb6bb6b7565546e40e74b58bf71	炸薯饼			1
278	38391661f2227ba33526c768115167e5	比萨			1
279	886cfc16bb7c3898c710c28ee2e434a0	下午茶套组			1
280	9fe92001b821f940ba728bbb27ca5e06	巧克力饼干			1
281	c69e9774b82f7881f11308925fa76979	三明治			1
282	8ac6c0eaf4977da6c7c67bbd9e6acf62	刨冰			1
283	c4d1223919ede8efc332e0b7bcc50710	缎带蛋糕			1
284	eaeb9153e3d79368126115da69232297	悠然的花			1
285	71c8f46c5413cdf043084812fe957e32	花朵背包			1
286	98a55a70b3a8955149dd26ecc32ee392	毽子草水壶			1
287	b9a885d347c3cc14c1db5a9820a7d7f7	便当			1
288	7aa16b64060e568d367543af8b00351d	花朵靠枕			1
289	db0fe1ff16779ef2f4674a9f78730c4f	花朵餐具套组			1
290	766a0f2f2060b47a60f4d6a9ce14c38b	冒险套组			1
291	22375d2bbfb2aba024eaab6c0acce3ad	地图与指南针			1
292	dc9acb7a0b13b5d52c03f4e5a4ebe90c	财宝			1
